Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
account_flow_type.adjusment_deposit,Adjusment Deposit,人工入款,人工入款,Penyelarasan Deposit,Ajuste de Depósitos,自動入金,Depósito de Ajuste,تعديل على الإيداع,সমন্বয় জমা,समायोजन जमा,Penyesuaian Deposit,조정 입금,ကိုယ်တိုင်ငွေသွင်း,ปรับเงินมัดจำ,Tiền gửi điều chỉnh,Adjusment sa Deposito,Dépôt d'indemnisation,Amana ya Marekebisho
account_flow_type.adjusment_withdrawal,Adjusment Withdrawal,人工出款,人工出款,Penyelarasan Pengeluaran,Ajuste de Retiradas,人工出金,Retirada de Ajuste,تعديل على السحب,সমন্বয় উত্তোলন,समायोजन निकासी,Penyesuaian Penarikan,조정 출금,ကိုယ်တိုင်ငွေထုတ်,การปรับการถอนเงิน,Rút tiền điều chỉnh,Adjusment sa Withdrawal,Ajustement Retrait,Kuondolewa kwa Marekebisho
account_flow_type.affiliate_agent_rebate,Agent Collaboration Commission,合營代理返佣,合营代理返佣,Komisen Rangkaian Sekutu Agen,Comissão de Colaboração com Agente,エージェント協業コミッション,Comisión por Colaboración con Agentes,عمولة التعاون مع الوكلاء,এজেন্ট সহযোগিতা কমিশন,सहबद्ध एजेंट छूट,Komisi Kolaborasi Agen,제휴사 협업 커미션,အေးဂျင့်ပူးပေါင်းဆောင်ရွက်ရေးကော်မရှင်,ค่าคอมมิชชั่นความร่วมมือของตัวแทน,Hoa hồng hợp tác đại lý,Agent Collaboration Commission,Commission de collaboration des agents,Tume ya Ushirikiano wa Mawakala
account_flow_type.api_transfer,Betting/Payout,投注/派彩,投注/派彩,Taruhan/Pembayaran,Apostas/Payout,ベット/ペイアウト,Apuesta/Pago,مراهنة / دفع,বাজি/পরিশোধ,एपीआई हस्तांतरण,Taruhan/Pembayaran,베팅/당첨금 지급,လောင်းကြေး/ငွေပေးချေမှု,การเดิมพัน/การจ่ายเงิน,Cược/Thanh toán,Betting/Payout,Mise/Paiement,Kuweka Dau/Malipo
account_flow_type.betting_records,Betting Report,投注紀錄,投注纪录,Rekod Taruhan,Registros de Apostas,ベット記録,Registros de Apuestas,سجلات المراهنة,বাজির রেকর্ড,शर्त रिकॉर्ड,Rekaman Taruhan,베팅 기록,လောင်းကစားမှတ်တမ်းများ,ประวัติการเดิมพัน,Lịch sử cược,Mga Record sa Betting,Records de paris,Rekodi za Kuweka Dau
account_flow_type.birthday_bonus,Birthday Bonus,生日獎勵,生日奖励,Pemberian Harijadi,Bônus de Aniversário,誕生日特典,Bono de Cumpleaños,مكافأة عيد الميلاد,জন্মদিনের বোনাস,जन्मदिन बोनस,Bonus Ulang Tahun,생일 보너스,မွေးနေ့ ဘောနပ်စ်,รางวัลวันเกิด,Phần thưởng sinh nhật,Bonus ng Birthday,Bonus d'anniversaire,Bonasi ya Siku ya Kuzaliwa
account_flow_type.bonus_wallet_trans,Bonus Transfer,贈金轉帳,赠金转账,Pemberian Pindahan,Transferência de Bônus,ボーナス送金,Transferencia de Bonos,تحويل المكافآت,বোনাস ট্রান্সফার,बोनस वॉलेट ट्रांसफर,Transfer Bonus,보너스 송금,အပိုဆုငွေလွှဲခြင်း။,การโอนโบนัส,Chuyển tiền thưởng,Bonus Transfer,Transfert de bonus,Uhamisho wa Bonasi
account_flow_type.bouns_gift,Bouns Gift,禮金,礼金,Ganjaran,Presente de Bônus,贈与金,Regalo de Bono,هدية المكافأة,বোনাস উপহার,बोनस उपहार,Hadiah Bonus,보너스,Bouns လက်ဆောင်,เงินของขวัญ,Tiền mừng,Bouns Gift,Bonus Cadeau,Zawadi ya Zawadi
account_flow_type.commission,Agent Commission,代理佣金,代理佣金,Komisen Agen,Comissão,代理人,Comisión,عمولة الوكيل,এজেন্ট কমিশন,कमीशन,Komisi Agen,제휴사 커미션,အေးဂျင့်ကော်မရှင်,คอมมิชชั่น,Nhiệm vụ,Agent Commission,Commission d'agent,Tume ya Wakala
account_flow_type.deposit,Deposit,存款,存款,Deposit,Depósito,入金,Depósito,إيداع,জমা,जमा,Deposit,입금,ငွေသွင်းမည်။,เงินฝาก,Tiền gửi,Deposito,Dépôt,Amana
