Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
action_type.adjusmentDeposit,Manual Deposit,手動存款,手动存款,Deposit Manual,Depósito manual,調整入金,Depósito manual,إيداع يدوي,ম্যানুয়াল জমা,मैन्युअल जमा करें,Setoran Manual,수동 입금,လူကိုယ်တိုင်ငွေသွင်းခြင်း,ปรับปรุงการฝากเงิน,Điều chỉnh nạp tiền,Manu-manong Pagdeposito,Dépôt manuel,Amana ya Mwongozo
action_type.adjusmentWithdraw,Manual Withdraw,手動提款,手动提款,Pengeluaran Manual,Retirada manual,調整出金,Retirada manual,سحب يدوي,ম্যানুয়াল প্রত্যাহার,मैन्युअल निकासी करें,Penarikan Manual,수동 출금,လူကိုယ်တိုင် ငွေထုတ်ခြင်း။,ปรับปรุงการถอนเงิน,Điều chỉnh rút tiền,Manu-manong Pag-withdraw,Retrait manuel,Kutoa kwa Mkono
action_type.adjusmentWithdrawal,Manual Withdrawal,手動提款,手动提款,Pengeluaran Manual,Retirada manual,調整出金,Retirada manual,سحب يدوي,ম্যানুয়াল প্রত্যাহার,मैन्युअल निकासी करें,Penarikan Manual,수동 출금,လူကိုယ်တိုင် ငွေထုတ်ခြင်း။,ปรับปรุงการถอนเงิน,Điều chỉnh rút tiền,Manu-manong Pag-withdraw,Retrait manuel,Kutoa Pesa kwa Mkono
action_type.affiliateCommission,Affiliate Commission,代理佣金,代理佣金,Suruhanjaya Gabungan,Comissão de afiliados,アフィリエイトコミッション,Comisión de Afiliación,عمولة الشركاء,অ্যাফিলিয়েট কমিশন,सहबद्ध कमीशन,Komisi Afiliasi,제휴 수수료,လက်တွဲလုပ်ကိုင်သူ ကော်မရှင်,ค่าคอมมิชชั่นพันธมิตร,Hoa hồng liên kết,Komisyon ng Kaakibat,Commission d'affiliation,Tume ya Ushirika
action_type.agentCommission,Agent Commission,合營代理返佣,合营代理返佣,Suruhanjaya Ejen,Comissão do agente,エージェントコミッション,Comisión del agente,عمولة الوكلاء,এজেন্ট কমিশন,एजेंट कमीशन,Komisi Agen,대리점 커미션,အေးဂျင့်ကော်မရှင်,ค่าคอมมิชชั่นตัวแทน,Hoa hồng đại lý,Komisyon ng Ahente,Commission d'agent,Tume ya Wakala
action_type.betRecord,Bet Record,投注紀錄,投注纪录,Rekod Pertaruhan,Registro de apostas,ベット記録,Registro de apuestas,سجل الرهانات,বাজি রেকর্ড,दांव रिकॉर्ड,Rekor Taruhan,베팅 기록,လောင်းကစားမှတ်တမ်း,บันทึกการเดิมพัน,Lịch sử đặt cược,Rekord ng Taya,Record de paris,Rekodi ya Dau
action_type.birthdayBonus,Birthday Bonus,生日獎勵,生日奖励,Bonus Hari Jadi,Bônus de aniversário,誕生日ボーナス,Bono de cumpleaños,مكافأة عيد الميلاد,জন্মদিনের বোনাস,जन्मदिन बोनस,Bonus Ulang Tahun,생일 보너스,မွေးနေ့ ဘောနပ်စ်,โบนัสวันเกิด,Thưởng sinh nhật,Bonus sa Kaarawan,Bonus d'anniversaire,Bonasi ya Siku ya Kuzaliwa
action_type.bonus_gift,Bonus Gift,禮金,礼金,Hadiah Bonus,Presente bônus,Quà thưởng,Regalo adicional,هدية المكافأة,বোনাস উপহার,बोनस उपहार,Hadiah Bonus,보너스,အပိုဆုလက်ဆောင်,ของขวัญโบนัส,Quà thưởng,Bonus na Regalo,Cadeau bonus,Zawadi ya Bonasi
action_type.bonusWalletTransfer,Bonus Wallet Transfer,贈金轉帳,赠金转帐,Pemindahan Dompet Bonus,Transferência de bônus para carteira,ボーナスウォレット転送,Transferencia de monedero de bonificación,تحويل محفظة المكافآت,বোনাস ওয়ালেট স্থানান্তর,बोनस वॉलेट ट्रांसफर,Bonus Transfer Dompet,보너스 지갑 전환,ဘောနပ်စ်ပိုက်ဆံအိတ် လွှဲပြောင်းခြင်း။,โอนกระเป๋าโบนัส,Chuyển tiền thưởng,Paglilipat ng Bonus na Wallet,Transfert de portefeuille bonus,Uhamisho wa Pochi ya Bonasi
action_type.deposit,Deposit,存款,存款,Deposit,Depósito,入金,Depósito,إيداع,আমানত,जमा करें,Deposit,입금,သွင်း,ฝากเงิน,Nạp tiền,Deposito,Dépôt,Amana
action_type.interestDeduction,Interest Deduction,利息寶扣款,利息宝扣款,Potongan Faedah,Dedução de juros,利息の控除,Deducción de intereses,خصم الفائدة,সুদ কর্তন,ब्याज कटौती,Pengurangan Bunga,이자 공제,အတိုးနုတ်ယူခြင်း,ดอกเบี้ยหัก,Khấu trừ lãi suất,Bawas sa Interes,Déduction d'intérêts,Punguzo la Riba
action_type.interestEarnings,Interest Earnings,利息寶利息,利息宝利息,Pendapatan Faedah,Rendimentos de juros,利息収入,Ganancias por intereses,عائد الفائدة,সুদ আয়,ब्याज आय,Pendapatan Bunga,이자 수익,အတိုးဝင်ငွေ,รายได้ดอกเบี้ย,Thu nhập lãi suất,Mga Kita sa Interes,Revenus d'intérêts,Mapato ya Riba
action_type.interestPrincipal,Interest Principal,利息寶本金,利息宝本金,Prinsipal Faedah,Juros Principais,利息の元本,Capital de interés,رأس المال للفائدة,আগ্রহের অধ্যক্ষ,ब्याज मूलधन,Pokok Bunga,이자 원금,အတိုးအရင်း,เงินต้นดอกเบี้ย,Vốn lãi suất,Prinsipal ng Interes,Capital d'intérêt,Mkuu wa Maslahi
action_type.manualAddition,Agent Credit,代理加款,代理加款,Kredit Ejen,Crédito do agente,エージェントクレジット,Crédito del agente,ائتمان الوكيل,এজেন্ট ক্রেডিট,एजेंट क्रेडिट,Kredit Agen,대리점 지급,အေးဂျင့်ခရက်ဒစ်,เครดิตตัวแทน,Tín dụng đại lý,Kredito ng Ahente,Agent de crédit,Mkopo wa Wakala
action_type.manualCashIn,Manual Cash In,手動儲值,手动充值,Tunai Masuk Manual,Caixa manual,手動チャージ,Caja manual,إيداع نقدي يدوي,ম্যানুয়াল ক্যাশ ইন,मैन्युअल नकद जमा करें,Setor Tunai Manual,수동 충전,လူကိုယ်တိုင်သွင်းငွေစာရင်းသွင်းခြင်း,เติมเงินด้วยตนเอง,Nạp tiền thủ công,Manu-manong Pag-cash In,Encaissement manuel,Pesa Pesa kwa Mkono
action_type.manualDeduction,Agent Deduction,代理扣款,代理扣款,Potongan Ejen,Dedução de Agente,エージェント控除,Deducción del agente,خصم الوكيل,এজেন্ট ডিডাকশন,एजेंट कटौती,Potongan Agen,대리점 차감,အေးဂျင့် နုတ်ယူခြင်း။,การหักตัวแทน,Khấu trừ đại lý,Pagbawas ng Ahente,Déduction de l'agent,Kupunguzwa kwa Wakala
action_type.promotion,Promotion,優惠,优惠,Promosi,Promoção,プロモーション,Promoción,ترقية,পদোন্নতি,प्रचार,Promosi,프로모션,ပရိုမိုးရှင်း,โปรโมชั่น,Khuyến mãi,Promosyon,Promotion,Ofa
action_type.rebate,Rebate,反水,反水,Rebat,Desconto,リベート,Reembolso,استرداد نقدي,রিবেট,रिबेट,Potongan harga,리베이트,ပြန်အမ်းငွေ,เงินคืน,Hoàn tiền,Rebate,Rabais,Punguzo
action_type.referral_rebate,Referral Commission,上級返佣,上级返佣,Suruhanjaya Rujukan,Comissão de Referência,紹介手数料,Comisión por recomendación,عمولة الإحالة,রেফারেল কমিশন,संदर्भ कमीशन,Comisión de referencia,추천인 커미션,ရည်ညွှန်းကော်မရှင်,ค่าคอมมิชชั่นแนะนำ,Hoa hồng giới thiệu,Komisyon sa Pagsangguni,Commission de référence,Tume ya Rufaa
action_type.shareholderDeposit,Shareholder Deposit,合營股東存款,合营股东存款,Deposit Pemegang Saham,Depósito do acionista,共同出資者預金,Depósito del accionista,وديعة المساهم في المشروع المشترك,শেয়ারহোল্ডার আমানত,शेयरधारक जमा,Deposit Pemegang Saham,총판 입금,ရှယ်ယာရှင်အပ်ငွေ,เงินฝากของผู้ถือหุ้นร่วมทุน,Tiền gửi của cổ đông liên doanh,Deposito ng Shareholder,Dépôt des actionnaires,Amana ya Wanahisa
action_type.vipBonus,VIP Bonus,VIP獎勵,VIP奖励,Bonus VIP,Bônus VIP,VIP ボーナス,Bono VIP,مكافأة كبار الشخصيات,ভিআইপি বোনাস,VIP बोनस,Bonus VIP,VIP 보상,VIP ဘောနပ်စ်,โบนัส VIP,Tiền thưởng VIP,Bonus ng VIP,Bonus VIP,Bonasi ya VIP
action_type.withdrawal,Withdraw,提款,提款,Pengeluaran,Cancelamento,出金,Retiro,سحب,প্রত্যাহার,निकासी करें,Penarikan,출금,ငွေထုတ်ခြင်း။,ถอนเงิน,Rút tiền,Pag-withdraw,Retrait,Kuondoa
action_type.withdrawalRejected,Withdrawal Rejected,拒絕提款,拒绝提款,Pengeluaran Ditolak,Retirada rejeitada,出金拒否,Retiro rechazado,تم رفض السحب,প্রত্যাহার প্রত্যাখ্যান করা হয়েছে,निकासी अस्वीकृत,Permohonan Penarikan Ditolak,출금 거부,ငွေထုတ်ခြင်းကို ပယ်ချခဲ့သည်။,ปฏิเสธการถอนเงิน,Từ chối rút tiền,Tinanggihan ang Pag-withdraw,Retrait refusé,Kutoa Kumekataliwa
action_type.withdrawRejected,Withdraw Rejected,拒絕提款,拒绝提款,Pengeluaran Ditolak,Retirada rejeitada,出金拒否,Retirada rechazada,تم رفض السحب,প্রত্যাহার প্রত্যাখ্যান করা হয়েছে,निकासी अस्वीकृत,Pengajuan Penarikan Ditolak,출금 거부,ထုတ်ယူခြင်းကို ပယ်ချခဲ့သည်။,ปฏิเสธการถอนเงิน,Từ chối rút tiền,Tinanggihan ang Pag-withdraw,Retrait refusé,Kutoa Kumekataliwa
ai.above,Above,以上,以上,Di atas,Acima,以上,Arriba,أعلى من,উপরে,ऊपर,Di atas,이상,အပေါ်က,สูงกว่า,Trên,Sa itaas,Au-dessus de,Juu
ai.agent,AI Agent,AI 代理,AI 代理,Ejen AI,Agente de IA,AI エージェント,Agente de IA,وكيل الذكاء الاصطناعي,এআই এজেন্ট,एआई एजेंट,Agen AI,AI 대리점,အေးဂျင့်,ตัวแทน AI,Tác nhân AI,Ahente ng AI,Agent IA,Wakala wa AI
ai.agent_settings,AI Agent Settings,AI 代理設定,AI 代理设置,Tetapan Ejen AI,Configurações do agente de IA,AI エージェント設定,Configuración del agente de IA,إعدادات وكيل الذكاء الاصطناعي,এআই এজেন্ট সেটিংস,एआई एजेंट सेटिंग्स,Pengaturan Agen AI,AI 대리점 설정,AI အေးဂျင့် ဆက်တင်များ,การตั้งค่าตัวแทน AI,Cài đặt đại diện AI,Mga Setting ng Ahente ng AI,Paramètres de l'agent IA,Mipangilio ya Wakala wa AI
ai.agent_text,Agent,代理,代理,Ejen,Agente,エージェント,Agente,وكيل,এজেন্ট,एजेंट,Agen,대리점,အေးဂျင့်,ตัวแทน,Đại lý,Ahente,Agent,Wakala
ai.apply_settings,Apply Settings,套用設定,应用设置,Gunakan Tetapan,Aplicar configurações,設定を適用,Aplicar configuración,تطبيق الإعدادات,সেটিংস প্রয়োগ করুন,सेटिंग्स लागू करें,Terapkan Pengaturan,설정 적용,ဆက်တင်များကို အသုံးပြုပါ။,ใช้การตั้งค่า,Áp dụng cài đặt,Ilapat ang Mga Setting,Appliquer les paramètres,Tumia Mipangilio
